Drug,RdRp Binding energy(kcal/mol),Mpro Binding energy(kcal/mol),TPSA,MW,XLogP3-AA,HBD,HBA,n-ROTB,n-H,n-N,n-O,n-F,n-C,n-Benzene ring,n-single bonds,n-double bonds
Stavudine,-5.8,-6.1,84.32,224.216,-0.70908,2,5,4,12,2,4,0,10,1,20,3
Cidofovir,-5.7,-6,147.9,279.189,-1.6618,4,9,10,14,3,6,0,8,1,24,2
Oseltamivir,-5.7,-6,90.65,312.41,1.2854,2,5,12,28,2,4,0,16,0,47,3
Lamivudine,-5.4,-5.6,90.37,229.261,-0.5941,2,7,4,11,3,3,0,8,1,20,1
Rimantadine,-5.4,-4.9,26.02,179.307,2.55,1,1,3,21,1,0,0,12,0,36,0
Doconasol,-5.3,-4.4,45.51,481.379,6.2043,0,5,7,22,2,3,0,26,4,36,0
Amantadine,-5.2,-4.6,26.02,151.253,1.9139,1,1,1,17,1,0,0,10,0,30,0
Zalcitabine,-5.2,-6,90.37,211.221,-0.5046,2,6,4,13,3,3,0,9,1,22,1
Foscarnet,-4.8,-4.5,94.83,126.004,-0.1579,3,5,3,3,0,5,0,1,0,7,2
Pyrimidine,-3.9,-3.5,25.78,80.09,0.4766,0,2,0,4,2,0,0,4,1,4,0
